"term","part of speech","sense","definition","example","translation","collocations","synonyms","antonyms","family","tags","note","deck"
"reliability","noun","","How far something can be trusted to work every time.","The reliability of the data was questioned.","güvenilirlik","","","","reliable","","","Everyday Essentials"
"reliably","adverb","","In a way that can be trusted to happen every time.","The train reliably arrives at seven.","güvenilir biçimde","","","","reliable","","","Everyday Essentials"
"commute","noun","","The regular journey between home and work.","My commute takes about forty minutes each way.","işe gidiş-geliş yolculuğu","","","","","","","Everyday Essentials"
"overwhelmed","adjective","","Feeling unable to cope because there is too much to deal with.","I felt completely overwhelmed by the number of emails.","bunalmış, altında ezilmiş","","","","","","","Everyday Essentials"
"errand","noun","","A short trip to do a small job, usually for someone else.","I have a few errands to run before the shops close.","ufak iş, ayak işi","","","","","","","Everyday Essentials"
"straightforward","adjective","","Easy to understand or do; not complicated.","The instructions were straightforward, so it only took ten minutes.","anlaşılır, basit","","","","","","","Everyday Essentials"
"appreciate","verb","","To be grateful for something, or to recognise its value.","I really appreciate everything you have done for me.","minnettar olmak, kıymetini bilmek","","","","","","","Everyday Essentials"
"chore","noun","","A routine household task.","We split the chores: he cooks and I do the dishes.","ev işi","","","","","","","Everyday Essentials"
"deadline","noun","","The latest time by which something must be finished.","The deadline for the report is Monday morning.","son teslim tarihi","","","","","","","Everyday Essentials"
"afford to","phrase","","To be able to risk doing something without bad consequences.","We cannot afford to lose another customer.","göze alabilmek","","","","","","","Everyday Essentials"
"reschedule","verb","","To arrange a new time for something.","Could we reschedule our call to tomorrow?","yeniden planlamak","","","","","","","Everyday Essentials"
"struggle","verb","","To try very hard to do something difficult.","He struggled to explain the idea in English.","zorlanmak, mücadele etmek","","","","","","","Everyday Essentials"
"worth it","phrase","","Good enough to justify the money, time or effort spent.","The tickets were expensive, but the concert was worth it.","değer, buna değer","","","","","","","Everyday Essentials"
